year,name,degree,subject,author
2011,"Development and evaluation of a digital pen-based eHealth application for diabetes sufferers",Dipl.-Inform.,Computer Science,H. Verkh
2010,"Jacareto ME: Experimentierumgebung für Usability-Studien mobiler eHealth-Anwendungen mittels Interaktionsaufzeichnung",Dipl.-Inform.,Computer Science,A. Horstmann
2011,"",M.A.,Communication Science,K. Dieckert
2012,"User-centered Determination of Motivational Factors for Social Network System Usage in the Work Environment",B.A.,Communication Science, M. Collubry
2012,"Social media in the context of work. User preferences for practiced etiquette",B.A.,Communication Science,N. Neuser
2012,"Empirical Study on Media Choice in the Work Environment",B.A.,Communication Science,S. Müller
2013,"Development and evaluation of a paper prototype of a web application for the visualisation of research networks.",M.Sc.,Technical Communication,C. Oppitz
2013,"The influence of factors of the work environment on the motivation to use social networks in the work environment", B.Sc.,Technical Communication, J. Paltrinieri
2013,"The influence of achievement motivation on the usage of social networks at work",B.Sc.,Technical Communication,M. Gehring
2013,"The influence of factors of the work environment on the motivation to use social networks in the work environment",B.Sc.,Technical Communication,N. Hornung
2013,"Benefits and barriers of interdisciplinary work in research clusters",B.A.,Communication Science,T. Hamann
2015,"Like button, star rating or tags---Perception and acceptance of rating methods in Social Media",B.Sc.,Technical Communication,A.van Aalst
2017,"The Influence of Decision Support Systems on User Performance in Complex Tasks",B.Sc.,Technical Communication,J. Nakayama
2017,"Attributed credibility of health information and its media presentation - An empirical study of user diversity",B.Sc.,Technical Communication,J. Reinhard
2018,"User evaluation of redirected-walking techniques in virtual reality",B.Sc.,Technical Communication,P. Fries
2018,"The influence of user diversity on the awareness of filter bubbles regarding political opinion formation",B.Sc.,Technical Communication,L. Simons
2019,"Digital information literacy and its impact on the use of social media",B.Sc.,Technical Communication,J. Dahmen
2019,"Acceptance of mHealth applications---Quantifying the impact of privacy, digital health literacy and trust in technology",B.Sc.,Technical Communication,M. Frank
2020,"Knowledge, trust, beliefs. Comparative structural equation modeling of determinants for behavior change in response to the COVID-19 pandemic and the climate crisis.",M.Sc.,Technical Communication,L. Kojan
2020,"Modeling Change of Collective Behavior in Situations of Crisis: A Comparison of Health and Environmental Scenarios Using Agent-Based Simulation",M.Sc.,Technical Communication,J. Nakayama
2020,"Twitter analsysis for laymen: Using Big Data and Visualisation to understand Twitter discussions",M.Sc.,Technical Communication,M. Schmitz
2020,"The Influence of Media on the Coronavirus Epidemic - an Agent-Based Model of the COVID-19 Spread in Germany.",M.Sc.,Technical Communication,C.O. Retzlaff
2020,"Comparison of rating metrics in social media. An agent-based model of voting systems in online communication.",B.Sc.,Scientific Programming,F. Matuschka
2020,"Perceptions of Hate Speech and Group Exclusion on Social Media",M.A.,Digital Media Communication,L. Schröder
2021,"Individual Intention and System Behavior - Transfer of a Structural Equation Model for the Tragedy of the Commons into an Agent-Based Model",M.Sc.,Technical Communication,B. Allendorf
2024,"Digital transformation in the world of work: Interventions and evaluation criteria",Dr. phil.,Technical Communication,J. Hildebrandt
2024*,"Development of a Method for Model Transformation from Structural Equation Models to Agent-Based Models",Dr. phil.,Communication Science,L. Burbach
2024*,"Visualizing Opinion Spaces of Social Media ",Dr. rer. nat.,Computer Science,P. Belavadi
2024*,"Storytelling in Visualization",Dr. rer. nat.,Communication Science,K. Schroeder
2025*,"Understanding health protective behavior for pandemic preparedness (working title)",Dr. phil.,Psychology,L. Kojan
2026*,"Understanding AI-Disinformation in Social Media (working title)",Dr. phil.,Communication Science,M. Sieger
2026*,"Comparing systemtic effects in mobility and epidemics using agent-based modelling (working title)",Dr. rer. nat.,Computer Science,L. Stellbrink
2026*,"Supporting Students in Computer Science with Personalized Learning Content (working title)",Dr. rer. nat.,Computer Science,T. Schumacher
2026*,"Informed Decision by Vision: Managing Uncertainty with Visual Context in Safety-Critical Systems. (working title)",Dr. phil.,Psychology,M. Gruner
2026*,"Supporting novice users in understanding disinformation in social media (working title)",Dr. rer. nat.,Computer Science,M. Mortaga
2022,"The Impact of Uncertainty Visualizations on Pandemic Modeling Assessments",B.Sc.,Media Informatics,H. Horstmann
2022,"The importance of Subjective Information Processing Awareness (SIPA) and Affinity for Technology Interaction (ATI) for the objective understanding of the Corona Warning App (CWA)",B.Sc.,Psychology,S. Kaduk
2023,"Applicability of usability-oriented development according to DIN EN 62366-1:2021 to the development of a graphical service interface for internal use by service technicians",M.Sc.,"Medical Engineering",I. Knor
2023,"Design and implementation of discrete choice experiments for assessing acceptability of pandemic control measures",B.Sc.,Media Informatics,M. Kololli
2023,"Development of a usable user interface for the initiatives in LiquidFeedback",B.Sc.,Media Informatics,B. Wirtz
2023,"Implementation and analysis of visualizations of weather data within the Dräger Smart Rescue application, considering situation awareness",M.Sc.,Media Informatics,M. Wirz
2023,"Gamification as an alternative to compensation for expenses in game theory experiments on social behavior",B.Sc.,Media Informatics,M. Breede
2023,"Development of a web-based experimental interface for behavioral studies with control center dispatchers",M.Sc.,Media Informatics,J. Wang
2024,"Development of a web application to display publications in consideration of accessibility",M.Sc.,Computer Science,M. Mlostek
2024,"Integration of the CODA model and the Schelling model to examine polarization in public discourse",B.Sc.,Computer Science,M. Jüchter
2024,"User-centered exploration of multimodal gaze interaction with 3D interfaces in an automotive context",M.Sc.,Media Informatics,B. Vorhof
2024,"Development of a web application for creating informed consent forms for interdisciplinary study planning",B.Sc.,Media Informatics,C. Schauß
2024,"Analysis of the influence of a tutorial on the usability of a website for science communication",B.Sc.,Media Informatics,J. Wieczorek
2024,"User-centered design of an application for automatic data capture for ID documents",M.Sc.,Media Informatics,K. Feltes
2024,"Developer Experience (DX) enhancement in web accessibility evaluation",B.Sc.,Media Informatics,R. Tank

